0,1,2,3
#A-C=122.88,29.70,204.80,1594397077.0054865
#M-C=-55.00,-119.17,39.00,1594397077.0112588
#G-C=33.00,-375.00,52.00,1594397077.0162508
#A-C=118.78,25.60,200.70,1594397077.0254438
#M-C=-55.17,-119.67,38.50,1594397077.0332847
#G-C=-26.00,-398.00,46.00,1594397077.0380342
#A-C=116.74,29.70,191.49,1594397077.0452836
#M-C=-55.50,-119.67,38.00,1594397077.051445
#G-C=-94.00,-264.00,11.00,1594397077.0571985
#A-C=123.90,28.67,198.66,1594397077.065432
#M-C=-54.33,-119.33,39.00,1594397077.0712333
#G-C=-118.00,-54.00,-63.00,1594397077.0773914
#A-C=129.02,31.74,201.73,1594397077.0853443
#M-C=-55.00,-119.67,38.83,1594397077.0915542
#G-C=-104.00,26.00,-96.00,1594397077.0980892
#A-C=122.88,32.77,203.78,1594397077.1053886
#M-C=-54.50,-119.33,39.17,1594397077.1112683
#G-C=-50.00,21.00,-71.00,1594397077.1173916
#A-C=121.86,34.82,205.82,1594397077.1254601
#M-C=-54.33,-119.00,39.50,1594397077.131443
#G-C=45.00,-13.00,-48.00,1594397077.137636
#A-C=128.00,38.91,200.70,1594397077.145303
#M-C=-54.33,-118.83,39.33,1594397077.151359
#G-C=103.00,-15.00,-30.00,1594397077.1575594
#A-C=123.90,32.77,209.92,1594397077.1654239
#M-C=-54.83,-119.33,39.50,1594397077.1712513
#G-C=84.00,-16.00,-5.00,1594397077.1774564
#A-C=130.05,20.48,207.87,1594397077.1854165
#M-C=-55.00,-118.50,39.50,1594397077.1912508
#G-C=9.00,-54.00,39.00,1594397077.1974044
#A-C=124.93,25.60,209.92,1594397077.2052755
#M-C=-55.33,-118.33,38.83,1594397077.211427
#G-C=1.00,-36.00,77.00,1594397077.2158597
#A-C=120.83,28.67,210.94,1594397077.2253158
#M-C=-55.00,-118.83,38.33,1594397077.231178
#G-C=7.00,-87.00,64.00,1594397077.236192
#A-C=129.02,35.84,215.04,1594397077.245245
#M-C=-55.00,-118.67,38.83,1594397077.2515595
#G-C=40.00,-125.00,72.00,1594397077.2577355
#A-C=123.90,38.91,202.75,1594397077.2652144
